year,decade,rank,title,artist
1965,1960s,10,My Girl,The Temptations
1965,1960s,11,"Help Me, Rhonda",The Beach Boys
1965,1960s,12,King of the Road,Roger Miller
1965,1960s,13,The Birds and the Bees,Jewel Akens
1965,1960s,14,"Hold Me, Thrill Me, Kiss Me",Mel Carter
1965,1960s,15,Shotgun,Junior Walker & the All Stars
1965,1960s,16,I Got You Babe,Sonny & Cher
1965,1960s,17,This Diamond Ring,Gary Lewis & the Playboys
1965,1960s,18,The 'In' Crowd,Ramsey Lewis Trio
1965,1960s,19,"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits
1965,1960s,20,Stop! In the Name of Love,The Supremes
1965,1960s,21,Unchained Melody,The Righteous Brothers
1965,1960s,22,Silhouettes,Herman's Hermits
1965,1960s,23,I'll Never Find Another You,The Seekers
1965,1960s,24,Cara Mia,Jay and the Americans
